RepRapFirmware height map file v2 generated at 2023-09-11 12:05, min error -0.043, max error 0.155, mean 0.057, deviation 0.068
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,190.00,40.00,140.00,-1.00,59.99,49.99,4,3
      0,      0,      0,      0
  0.005, -0.023, -0.043,  0.035
  0.115,  0.155,  0.120,  0.087
